condition,initial_condition_scenario,initial_fraction,bootstrap_id,sampled_replicates,D,alpha,beta,train_sse
ciprofloxacin,assumed_0.1pct,0.001,176,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,177,1;3;3,-4.2841086597677815,1.000000038640098e-08,0.6120669621982238,14.385707793608091
ciprofloxacin,assumed_0.1pct,0.001,178,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,179,3;1;1,-4.804535588507825,1.3270101205237186e-08,0.5884795594458904,12.97904738843291
ciprofloxacin,assumed_0.1pct,0.001,180,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,181,2;2;3,-4.2468014256329685,1.0000006990679619e-08,0.5008131312271882,12.322395134934537
ciprofloxacin,assumed_0.1pct,0.001,182,3;3;1,-4.284108599810683,1.0000000219532004e-08,0.6120669412629607,14.385707793607565
ciprofloxacin,assumed_0.1pct,0.001,183,1;2;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,184,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,185,2;1;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,186,3;1;1,-4.804535588507825,1.3270101205237186e-08,0.5884795594458904,12.97904738843291
ciprofloxacin,assumed_0.1pct,0.001,187,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,188,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
