condition,initial_condition_scenario,initial_fraction,trial,split_id,n_train_observations,n_test_observations,train_times_h,test_times_h,method,test_rmse_observed_log,D,alpha,beta,train_sse,initial_condition_max_abs_error
ampicillin,classification_anchor,1.5908037919303823e-05,3,9c5db6337f09,48,12,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,NLLS,1.7752664622149232,-5.230335632272374,0.0012232137025364087,1.1505090948191512,43.289283789549714,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,3,9c5db6337f09,48,12,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,NN,0.9001895082481934,,,,1.039268041135304,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,3,9c5db6337f09,48,12,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,PINN,0.9048153256471964,-3.9988796339516095,1.8797437562451058e-05,0.6644495957241623,0.28587451225551774,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,4,1705cb1c079b,48,12,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,NLLS,1.5141415174144328,-5.096857798093739,0.004211323318178291,1.3510375942542945,45.56834327421436,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,4,1705cb1c079b,48,12,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,NN,0.7283137947834575,,,,1.1086461312804898,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,4,1705cb1c079b,48,12,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,PINN,0.7770745709247392,-4.092830454225788,8.162213565517764e-05,0.7562872027478221,0.30244123740480633,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,5,f772ef9d76cc,48,12,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NLLS,1.0589994916432868,-3.989261443932466,3.3113695994908644e-05,0.7077250872322967,46.05800228117754,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,5,f772ef9d76cc,48,12,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NN,1.0885945575105005,,,,0.9637577870898683,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,5,f772ef9d76cc,48,12,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,PINN,1.0281098702374822,-3.913896883489185,4.926230841233965e-06,0.6311819908031675,0.27334034406020397,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,6,2bd28833be7c,51,9,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NLLS,1.1325349535651685,-4.168612250707551,0.00045907565272022496,1.1122524860548328,49.16459965730807,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,6,2bd28833be7c,51,9,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NN,1.000193094875014,,,,0.9981158368889829,0.0
