dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,training_objective,network_train_sse,ode_implied_train_sse,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,selected_weight_seed_index,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_network_seed,network_observed_sse,network_r2,ode_implied_observed_sse,ode_implied_r2
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,3,81003,0;0.333333333333;0.666666666667;1;2.5;3;4;5;6;7,1.5;2,48,12,NLLS,-5.229544303208781,0.00121951658624514,1.1499361596129485,43.28926015205812,43.28926015205812,43.28926015205811,43.28926015205811,1.7750967573336096,1.7750967573336096,0.0,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,3,81003,0;0.333333333333;0.666666666667;1;2.5;3;4;5;6;7,1.5;2,48,12,NN,,,,49.89786044649827,1.0395390992051075,49.89786044649827,,0.902178937781239,,,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,3,81003,0;0.333333333333;0.666666666667;1;2.5;3;4;5;6;7,1.5;2,48,12,PINN,-4.08960768014693,2.2988888299490067e-05,0.6677401743858236,49.12918415123285,0.3146949460214284,49.12918415123285,49.28738188203782,0.898079247902446,0.8978373975071372,0.005952071703698685,0.0,1.0,1.0,0.010727660485082509,0.006379529495261129,81003101.0,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,4,81004,0;0.333333333333;0.666666666667;1;2;2.5;3;5;6;7,1.5;4,48,12,NLLS,-5.097023769426082,0.004212024722890009,1.35105817110544,45.56834319830955,45.56834319830955,45.56834319830955,45.56834319830955,1.514221036921946,1.514221036921946,0.0,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,4,81004,0;0.333333333333;0.666666666667;1;2;2.5;3;5;6;7,1.5;4,48,12,NN,,,,53.20940229162267,1.1085292655107606,53.20940229162267,,0.7282176527323577,,,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,4,81004,0;0.333333333333;0.666666666667;1;2;2.5;3;5;6;7,1.5;4,48,12,PINN,-4.0808459892179,3.310806795349501e-05,0.6867404779577062,52.17052246323497,0.3338914382121771,52.17052246323497,52.365433042000745,0.7369168529437036,0.73700604652976,0.005003889054293574,0.0,1.0,0.0,0.009706829929984681,0.00802047500183685,81004100.0,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,5,81005,0;0.333333333333;0.666666666667;1.5;2.5;3;4;5;6;7,1;2,48,12,NLLS,-3.989251775146627,3.310505882844518e-05,0.7077070341194737,46.05800229129526,46.05800229129526,46.05800229129526,46.05800229129526,1.0590047171197245,1.0590047171197245,0.0,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,5,81005,0;0.333333333333;0.666666666667;1.5;2.5;3;4;5;6;7,1;2,48,12,NN,,,,46.261540960185414,0.9637821932662304,46.261540960185414,,1.0904757643178866,,,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,5,81005,0;0.333333333333;0.666666666667;1.5;2.5;3;4;5;6;7,1;2,48,12,PINN,-3.9658782225559777,1.2185644546344722e-05,0.6508048218455509,46.08454592069049,0.2939371889408711,46.08454592069049,46.09925013338608,1.0707814280771117,1.0721310927244918,0.004380405136254231,0.0,1.0,1.0,0.008993178522820765,0.006152994415231024,81005101.0,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,6,81006,0;0.333333333333;0.666666666667;1.5;2;2.5;3;4;5;6,1;7,51,9,NLLS,-4.168617931024191,0.00045910225981624233,1.1122557884984374,49.16459967462203,49.16459967462203,49.16459967462203,49.16459967462203,1.1325230343410044,1.1325230343410044,0.0,0.0,,,,,,,,,
